feature,importance
GyroZ_roll_mean,0.1452176
GyroZ_roll_min,0.11386317
GyroZ_roll_max,0.1041668
AccY_roll_max,0.10283528
AccY_roll_range,0.074652694
TurnIntensity,0.07219038
AccY_roll_std,0.045654226
AccZ_roll_range,0.042768285
GyroMag_roll_min,0.041849498
GyroY,0.037583306
GyroX_roll_max,0.035148326
AccelIntensity,0.03444581
GyroMag_roll_mean,0.0331864
AccX_roll_std,0.030344766
AccY_roll_mean,0.028164571
GyroMag,0.027487958
GyroMag_roll_max,0.01558656
AccZ_roll_min,0.014854422
JerkY,0.0
AccMag_roll_mean,0.0
GyroY_roll_range,0.0
AccMag,0.0
GyroZ_roll_std,0.0
AccZ,0.0
AccY,0.0
GyroZ_roll_range,0.0
AccMag_roll_min,0.0
AccMag_roll_std,0.0
AccMag_roll_max,0.0
GyroY_roll_max,0.0
AccMag_roll_range,0.0
GyroMag_roll_std,0.0
AccX,0.0
GyroMag_roll_range,0.0
BrakeIntensity,0.0
GyroZ,0.0
GyroY_roll_min,0.0
GyroY_roll_mean,0.0
GyroY_roll_std,0.0
JerkZ,0.0
JerkMag,0.0
AccX_roll_mean,0.0
AccX_roll_max,0.0
AccX_roll_min,0.0
AccX_roll_range,0.0
JerkX,0.0
GyroAccRatio,0.0
AccY_roll_min,0.0
GyroEnergy,0.0
AccZ_roll_mean,0.0
AccZ_roll_std,0.0
AccZ_roll_max,0.0
AccEnergy,0.0
GyroX_roll_mean,0.0
GyroX_roll_std,0.0
GyroX_roll_min,0.0
GyroX_roll_range,0.0
GyroX,0.0
